Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,AMP_Scale,AMP_Overflow_Skips,Epoch_Time_sec,Cumulative_Training_Time
151,train/val,1.1271268365823703,0.8704765225234239,0.6416257767249708,0.26789945812381577,61.20111783498795,62.6570058293307,70.38574614079756,71.94920047121781,89.2596751304266,91.14274548746512,77.00734038167442,77.60690371134636,70.38574614079756,71.94920047121781,72.48395070668852,73.58355592440336,89.2596751304266,91.14274548746512,89.2596751304266,91.14274548746512,89.2596751304266,91.14274548746512,0.0007144805478843217,16384.0,0,17.11946439743042,0:43:33
152,train/val,1.128893013557662,0.8793892449010973,0.6237594060923742,0.2733672966027624,61.374028954880835,62.48112207684861,70.95553364648715,72.51193822252098,89.05071881182734,91.0821757736121,76.97750931172766,76.37103318777424,70.95553364648715,72.51193822252098,72.7609720941637,73.38279099881669,89.05071881182734,91.0821757736121,89.05071881182734,91.0821757736121,89.05071881182734,91.0821757736121,0.0007125499772908119,16384.0,0,17.152161836624146,0:43:50
153,train/val,1.097656637430191,0.8505838808158169,0.6176818900782128,0.2719287092508791,62.69140022043091,62.59868948481194,71.66912029962401,72.5419554893748,89.76046914845047,91.01551468724368,78.58326876466865,76.55740260535761,71.66912029962401,72.5419554893748,73.73250340931322,73.51670022617913,89.76046914845047,91.01551468724368,89.76046914845047,91.01551468724368,89.76046914845047,91.01551468724368,0.0007106188253376087,16384.0,0,17.629924297332764,0:44:08
154,train/val,1.1140641813044962,0.868128420866054,0.6148393908920495,0.2793133010588579,62.07569355955389,61.980275228347104,71.25274560401665,70.94275686915738,89.52423554443394,90.77390606074513,78.00555865366636,77.43728698792289,71.25274560401665,70.94275686915738,73.39360649926395,73.06041709094114,89.52423554443394,90.77390606074513,89.52423554443394,90.77390606074513,89.52423554443394,90.77390606074515,0.0007086870900931573,16384.0,0,17.21195101737976,0:44:25
155,train/val,1.099496355847172,0.8476948044870211,0.6295038717596427,0.2833252044985928,62.38610169910211,61.115195727710855,71.4889268490607,70.88166389300117,89.49513351273836,90.67837916406589,78.24192615571076,75.79501121156551,71.4889268490607,70.88166389300117,73.60217639816065,72.19651146315697,89.49513351273836,90.67837916406589,89.49513351273836,90.67837916406589,89.49513351273836,90.67837916406589,0.0007067547696136124,16384.0,0,17.29476308822632,0:44:42
156,train/val,1.0890768189793048,0.8435150417296783,0.6139044321101644,0.2787658377029194,62.6194447371728,61.71356180895364,71.55545197375578,70.73279591347912,89.76334965643211,90.78403066920059,78.37879169269183,77.49477227215895,71.55545197375578,70.73279591347912,73.72870052096151,72.76763235177356,89.76334965643211,90.78403066920059,89.76334965643211,90.78403066920059,89.76334965643211,90.78403066920059,0.0007048218619427256,16384.0,0,17.43235969543457,0:45:00
157,train/val,1.0644502759627674,0.8374887555837631,0.5674038027291712,0.2763917181290397,62.506178589230544,62.44846696021092,71.54221435649339,72.05984544674428,90.04164279922242,91.01168607871527,78.25966619799613,76.64265551812005,71.54221435649339,72.05984544674428,73.63380788873175,73.48643205544573,90.04164279922242,91.01168607871527,90.04164279922242,91.01168607871527,90.04164279922242,91.01168607871527,0.0007028883651117249,16384.0,0,17.788187980651855,0:45:18
158,train/val,1.0982492511039195,0.8480289364638536,0.6255507759102013,0.2605996154737692,62.858266243391945,63.0539547959988,72.04231066313916,72.10205865843197,89.55972011189903,91.36827158565262,78.4422255861985,78.51151050841888,72.04231066313916,72.10205865843197,74.02210006090688,73.79377673110793,89.55972011189903,91.36827158565262,89.55972011189903,91.36827158565262,89.55972011189903,91.36827158565262,0.0007009542771391999,16384.0,0,17.88113808631897,0:45:35
159,train/val,1.1147126808114673,0.8623989849634792,0.630784227958192,0.267596484442682,63.07642119370661,62.677277920970965,72.52295417417895,71.74096037659588,89.82176376472722,91.13123890257727,78.25992687207953,78.14734928605085,72.52295417417895,71.74096037659588,74.27379352514691,73.55842078702975,89.82176376472722,91.13123890257727,89.82176376472722,91.13123890257727,89.82176376472722,91.13123890257727,0.0006990195960309783,16384.0,0,17.924993753433228,0:45:53
160,train/val,1.1306071501711141,0.8667511392546736,0.6596400175729523,0.267715883332608,61.85789828799892,62.42951310224514,71.15141642593076,70.91720126023432,89.4491220744905,91.12336667845746,77.7407726698016,78.9838749755204,71.15141642593076,70.91720126023432,73.15352248084005,73.33391764322523,89.4491220744905,91.12336667845746,89.4491220744905,91.12336667845746,89.4491220744905,91.12336667845746,0.0006970843197800049,16384.0,0,18.501984357833862,0:46:12
