epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro,amp_overflow_skips,amp_scale
411,train/val,0.9312265204346698,0.7624446592577125,0.42195464565378166,71.63888422635549,79.57954433150411,92.43232209628887,0.2120158469565639,69.67008034595854,78.66228200625673,92.90533187118645,0.00018274138896779148,17.45366358757019,1:58:37,85.15536301800182,79.57954433150411,81.76566059886771,92.43232209628887,92.43232209628887,92.43232209628887,82.65788274728,78.66228200625673,80.20523388725753,92.90533187118645,92.90533187118645,92.90533187118645,0,16384.0
412,train/val,0.911831821112529,0.7544365126801573,0.393488266221855,71.735965217576,79.87665861203848,92.60977983654513,0.19970205940715582,71.15244897686365,79.39154164264312,93.29883928066347,0.00018049381907583227,17.443622827529907,1:58:54,84.66353456994665,79.87665861203848,81.73254256645043,92.60977983654513,92.60977983654513,92.60977983654513,84.06315126481292,79.39154164264312,81.32934511341443,93.29883928066347,93.29883928066347,93.29883928066347,0,16384.0
413,train/val,0.9363218818021857,0.7676956216278283,0.42156564752044884,72.22291141286004,80.3573475755297,92.55119044769319,0.24984368870676885,66.6606813590025,75.77758353677191,91.75120806166758,0.00017824313505865474,17.715229988098145,1:59:12,85.18673766841682,80.3573475755297,82.18343308229676,92.55119044769319,92.55119044769319,92.55119044769319,81.60346801654967,75.77758353677191,77.84161492652842,91.75120806166758,91.75120806166758,91.75120806166758,0,16384.0
414,train/val,0.9132677138499592,0.7527986142946326,0.40117273690259975,72.38372791897739,80.4758746880257,92.75562121757963,0.19565528613121408,71.60028967098864,79.87190897705669,93.45431311211676,0.0001759892887852853,17.253731966018677,1:59:29,85.21438029648706,80.4758746880257,82.31448014937756,92.75562121757963,92.75562121757963,92.75562121757963,84.53394485388188,79.87190897705669,81.62556441731958,93.45431311211676,93.45431311211676,93.45431311211676,0,16384.0
415,train/val,0.9133873108936392,0.7540859959047773,0.3982532822891422,72.63434435314504,80.68085456536106,92.69500140659127,0.21659274157748754,69.34673472670322,78.15683792459895,92.8252988283079,0.00017373223068429663,17.54054093360901,1:59:47,85.42043152660764,80.68085456536106,82.51578574509668,92.69500140659127,92.69500140659127,92.69500140659127,82.54262619329789,78.15683792459895,79.83963048032456,92.8252988283079,92.8252988283079,92.8252988283079,0,16384.0
416,train/val,0.9331961594845938,0.7702863783292149,0.40727444365620613,71.99755438927036,79.91325417868184,92.52788836591074,0.19609509721155116,71.3816529157755,79.58134587373596,93.41020700805883,0.00017147190967924802,17.28393268585205,2:00:04,85.42197737809919,79.91325417868184,82.07199784533636,92.52788836591074,92.52788836591074,92.52788836591074,84.3330053163371,79.58134587373596,81.53321915759307,93.41020700805883,93.41020700805883,93.41020700805882,0,16384.0
417,train/val,0.9027252265292665,0.7485332142399704,0.3854800214100143,72.76954216976954,80.99788974849544,92.80403142204091,0.20666792542335446,69.70216908313103,78.21575986464141,93.03924716685565,0.0001692082731202421,17.3523211479187,2:00:21,85.18202426707447,80.99788974849544,82.5820369419274,92.80403142204091,92.80403142204091,92.80403142204091,83.5545909766369,78.21575986464141,80.09630442181634,93.03924716685565,93.03924716685565,93.03924716685565,0,16384.0
418,train/val,0.9012432179373243,0.7425214065157849,0.39680451996948407,72.40526350063686,80.46625563128312,92.58936641287605,0.31251676730727157,63.298682195633035,74.04677401115865,90.27274535623667,0.00016694126671130296,17.258577823638916,2:00:39,85.31726504909194,80.46625563128312,82.32603812711955,92.58936641287605,92.58936641287605,92.58936641287605,77.89328941690641,74.04677401115865,75.08620801905212,90.27274535623667,90.27274535623667,90.27274535623667,0,16384.0
419,train/val,0.9081354627142781,0.7494226133693819,0.3967821116194777,72.26163639969572,80.24960322183733,92.92224635673337,0.20187155765119685,71.32928393028133,80.43647692984625,93.2089767079883,0.00016467083443325538,17.250745058059692,2:00:56,85.05245548469598,80.24960322183733,82.1460983812988,92.92224635673337,92.92224635673337,92.92224635673337,83.21046900766011,80.43647692984625,81.5511761504585,93.2089767079883,93.2089767079883,93.20897670798828,0,16384.0
420,train/val,0.9280292605576308,0.7721791108665259,0.3896253704214873,72.56326398502254,80.72438550446095,92.87894409409967,0.19427723757433407,71.66346992751728,80.13592138548304,93.44173742314331,0.0001624703255721687,17.19280433654785,2:01:13,85.10909123650802,80.72438550446095,82.4415120338751,92.87894409409967,92.87894409409967,92.87894409409965,84.12984026731397,80.13592138548304,81.72862798853122,93.44173742314331,93.44173742314331,93.44173742314331,1,8192.0
