Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
40,train/val,1.1545727208256722,0.9066651701927185,0.619768849760294,0.32240008312425655,50.02111939145442,41.443586872069595,57.51507578787704,47.54298984256469,89.20015074984609,89.38303517605335,66.06233318598201,59.50007869090073,57.51507578787704,47.54298984256469,68.10222438847137,64.0110516209531,89.20015074984609,89.38303517605335,89.20015074984609,89.38303517605335,89.20015074984609,89.38303517605337,0.0009627985796448168,7.545431613922119,0:05:01
41,train/val,1.210968679189682,0.956217522919178,0.636877878010273,0.3237835806441833,49.58007369312517,41.20690645282751,57.78804201893127,47.362950920267096,88.08573386146134,89.2827648556133,70.85848991981659,62.940945032715135,57.78804201893127,47.362950920267096,65.45858804419228,63.691040992712935,88.08573386146134,89.2827648556133,88.08573386146134,89.2827648556133,88.08573386146134,89.2827648556133,0.0009618648525659578,7.45784330368042,0:05:08
42,train/val,1.2192453786730766,0.9575479358434678,0.654243602603674,0.33867100083679724,51.381619870007924,41.17898630370388,59.38637502887041,47.55758929276019,88.26785942942756,88.82026980560738,69.12738146260175,62.82537782987323,59.38637502887041,47.55758929276019,66.70292324040912,63.93788269523887,88.26785942942756,88.82026980560738,88.26785942942756,88.82026980560738,88.26785942942756,88.82026980560738,0.0009609310247637238,7.41434645652771,0:05:16
43,train/val,1.1632993161678313,0.9201628565788269,0.6078411430120468,0.3380998834781929,49.733446163392045,41.20412377291894,57.64153585421429,47.90622330635962,89.27444116453267,88.77671984348198,69.10682784284798,58.1296750487474,57.64153585421429,47.90622330635962,65.10363753115507,64.01252777947623,89.27444116453267,88.77671984348198,89.27444116453267,88.77671984348198,89.27444116453267,88.77671984348198,0.0009599970961184678,7.7369232177734375,0:05:23
44,train/val,1.1854128420352936,0.9335474207997322,0.6296635396778584,0.3382141301811834,51.001576416574345,40.505325400383676,58.90837100512163,47.12518221325263,89.20937876803931,88.47643037215413,70.35051031310611,61.93601263476547,58.90837100512163,47.12518221325263,66.03520238619667,63.049606532511746,89.20937876803931,88.47643037215413,89.20937876803931,88.47643037215413,89.20937876803931,88.47643037215413,0.0009590630665102712,7.610486268997192,0:05:31
45,train/val,1.1765755623579026,0.9350366145372391,0.6038473837077618,0.32503823563583556,51.87935599680558,42.06591075952201,59.393701851602685,48.79490752902177,89.23489691248189,89.05881819050295,73.15591662791194,59.230023535869634,59.393701851602685,48.79490752902177,66.63731982124392,65.08855577820837,89.23489691248189,89.05881819050295,89.23489691248189,89.05881819050295,89.23489691248189,89.05881819050295,0.0009581289358189428,7.504820823669434,0:05:38
46,train/val,1.1673819214105605,0.9155099093914032,0.6296800188720226,0.3155956260533127,51.99132219371657,41.80981330292702,60.04023897656874,47.895765075591775,89.08701489725307,89.53249753651457,74.72747458513116,60.438776542703074,60.04023897656874,47.895765075591775,67.0221832661878,64.38639809100893,89.08701489725307,89.53249753651457,89.08701489725307,89.53249753651457,89.08701489725308,89.53249753651457,0.0009571947039240178,7.290101766586304,0:05:46
47,train/val,1.1387899860739708,0.9127046003937721,0.5652134649455547,0.3021187387706284,48.79115435961198,42.169739273498294,56.95332009917298,48.524073904072786,89.3479373690069,89.73640012351545,68.18026562528514,62.729536376807985,56.95332009917298,48.524073904072786,64.27769578581855,64.69452102521133,89.3479373690069,89.73640012351545,89.3479373690069,89.73640012351545,89.3479373690069,89.73640012351545,0.0009562603707047575,7.433454275131226,0:05:53
48,train/val,1.205867090821266,0.9398317545652389,0.6650883264839649,0.31073801872235063,52.45113933337344,41.74508026023254,60.18637693594921,48.473195149425194,88.37839908639093,89.66682004390059,73.06488719843469,60.42029610039052,60.18637693594921,48.473195149425194,68.66515214049952,64.26235468241786,88.37839908639093,89.66682004390059,88.37839908639093,89.66682004390059,88.37839908639093,89.66682004390059,0.0009553259360401469,7.544478893280029,0:06:01
49,train/val,1.1578936532139779,0.9263102799654007,0.578958411514759,0.3186408775256343,48.625010118652476,41.779257606754896,56.467361189524134,48.31856667791571,89.1230014459004,89.07655439800804,68.72393543509769,60.321556462699874,56.467361189524134,48.31856667791571,63.41861280875351,64.73758755213197,89.1230014459004,89.07655439800804,89.1230014459004,89.07655439800804,89.1230014459004,89.07655439800804,0.0009543913998088963,7.75884485244751,0:06:08
