Epoch,Train_Total_Loss,Train_Main_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
154,0.7265021273291343,0.6242496416263318,0.25563121190208193,0.18819599822163582,79.12914765766054,76.20861067546244,85.92340894635629,84.88437258452683,96.36330280326725,95.80959713888603,90.14669804587498,86.90177410358811,85.92340894635629,84.88437258452683,87.90920575931386,85.58070336136302,96.36330280326725,95.80959713888603,96.36330280326725,95.80959713888603,96.36330280326725,95.80959713888603,0.007085702325183297,271.3165338039398,11:33:14
155,0.7166387535576542,0.615847289872875,0.25197865437683675,0.19320408092439176,80.4998758314191,72.68877931962673,87.3388680777746,80.68269589377618,96.53880662102303,95.62903502156105,90.36938769122096,87.51752054692209,87.3388680777746,80.68269589377618,88.79117292553426,83.07517162298373,96.53880662102303,95.62903502156105,96.53880662102303,95.62903502156105,96.53880662102303,95.62903502156105,0.007066378765788884,267.60406398773193,11:37:42
156,0.7272436303345244,0.6226415836277951,0.2615051126381897,0.19264298798143864,78.75055307019703,75.00336594433107,85.76830772722337,83.2476928196113,96.28825965031363,95.51084907296782,89.82399689209241,87.53374653300085,85.76830772722337,83.2476928196113,87.65174818575261,84.79345315078551,96.28825965031363,95.51084907296782,96.28825965031363,95.51084907296782,96.28825965031363,95.51084907296782,0.007047127286373331,270.36732745170593,11:42:12
157,0.7187923059298356,0.6119051029618827,0.2672180048044127,0.18968276165425776,80.81773573861862,76.21990354502145,87.34674333812826,84.51644827767781,96.39190982728259,95.65461454943467,90.81195880505696,87.72855605730231,87.34674333812826,84.51644827767781,89.00239715202912,85.59251163168511,96.39190982728259,95.65461454943467,96.39190982728259,95.65461454943467,96.39190982728259,95.65461454943467,0.0070277919848832976,272.8216037750244,11:46:45
158,0.7293366709850583,0.626457753883726,0.25719728996750485,0.19733745707571507,78.44834594349314,74.45261108243649,85.55721116897537,83.19952517427211,96.341328131033,95.38796071100809,89.58201467485978,86.48457314387743,85.55721116897537,83.19952517427211,87.45627411449058,84.4409977893527,96.341328131033,95.38796071100809,96.341328131033,95.38796071100809,96.341328131033,95.38796071100809,0.007008450770855677,274.1112205982208,11:51:19
159,0.719244064323519,0.6157963737975694,0.2586192237595303,0.19068143562972545,80.93762344387201,74.81049444293343,87.51996008989616,82.80851887620973,96.47819294005573,95.55645426032407,90.7805054714347,87.52976091519635,87.51996008989616,82.80851887620973,89.07076660509517,84.66879727613644,96.47819294005573,95.55645426032407,96.47819294005573,95.55645426032407,96.47819294005573,95.55645426032407,0.006989103624341523,270.1367931365967,11:55:49
160,0.7176764106381717,0.61783854988051,0.24959465028078026,0.184992632240057,80.1872322368182,75.44075304929237,86.81865815138417,82.86183112655608,96.49856820771586,95.75333186112019,90.52020603350289,88.34083345229882,86.81865815138417,82.86183112655608,88.56982657444495,85.09146650436551,96.49856820771586,95.75333186112019,96.49856820771586,95.75333186112019,96.49856820771586,95.75333186112019,0.006969750525262966,269.8727443218231,12:00:19
161,0.7178460585445707,0.6151218353679858,0.2568105577686006,0.1930138118863106,80.91763553744383,73.93323383150565,87.28468604696378,83.34218869386805,96.48539686068818,95.39976799748037,91.06694359126267,86.38807352518813,87.28468604696378,83.34218869386805,89.05437235616107,84.06311581814116,96.48539686068818,95.39976799748037,96.48539686068818,95.39976799748037,96.48539686068818,95.39976799748037,0.006950391453412044,268.2339062690735,12:04:47
162,0.7233758626885276,0.6184545211048036,0.26230334973046665,0.19676799099147319,80.32504864909572,73.13009902044399,87.03041679027595,80.59635277156893,96.37019872166402,95.46708103504771,90.43031618819732,87.97407473374219,87.03041679027595,80.59635277156893,88.65562711739535,83.47567375941496,96.37019872166402,95.46708103504771,96.37019872166402,95.46708103504771,96.37019872166402,95.4670810350477,0.0069310263884493906,271.3789916038513,12:09:19
163,0.7150239627595387,0.614159589526873,0.2521609291283974,0.2017668219357729,80.81922588891453,75.4262355882247,87.26974900890151,84.23475194022808,96.49853320070376,95.40987706301307,90.89227344903173,86.76212400063281,87.26974900890151,84.23475194022808,88.99485298424483,85.12657548787661,96.49853320070376,95.40987706301307,96.49853320070376,95.40987706301307,96.49853320070376,95.40987706301307,0.006911655309903025,266.3078098297119,12:13:45
